Peak#,Ret. Time,Area,Area%,Height,Resolution(USP),Tailing F.,NTP(USP),S/N
1,1.515,45051703,58.637,1675077,--,1.099,79,48756.76
2,3.024,1078,0.001,183,3.552,1.028,5138,5.33
3,4.627,526,0.001,52,7.275,0.942,4629,1.52
4,8.621,1568,0.002,79,9.488,0.911,3662,2.31
5,13.287,2199,0.003,105,8.37,1.142,9510,3.04
6,14.281,9372,0.012,387,1.715,1.063,8635,11.28
7,16.525,12379,0.016,491,3.531,0.912,10148,14.3
8,17.431,12883,0.017,427,1.259,1.15,7911,12.42
9,19.679,30754294,40.028,915249,2.741,1.032,8452,26640.3
10,22.018,7044,0.009,177,--,--,--,5.14
11,32.252,1864,0.002,146,--,--,47455,4.26
12,32.536,3273,0.004,155,0.142,--,1462,4.52
13,34.255,876965,1.141,22579,0.779,1.216,18353,657.21
14,37.197,8820,0.011,221,2.855,0.975,20081,6.44
15,39.397,35831,0.047,1004,2.299,1.15,33288,29.21
16,41.459,9245,0.012,205,1.834,0.961,14348,5.97
17,43.536,6831,0.009,332,2.179,0.945,111459,9.66
18,44.212,4787,0.006,218,1.272,1.329,106909,6.35
19,48.111,996,0.001,79,8.996,--,348475,2.31
20,48.622,6027,0.008,357,1.406,1.053,235114,10.38
21,49.607,13162,0.017,529,1.931,--,102655,15.41
22,50.689,6907,0.009,192,1.125,--,24200,5.59
23,51.392,3671,0.005,133,0.529,--,23026,3.86
Total,,76831424,100,2618376,,,,
